"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
145.082877849594,0.0778389415903684
151.991108295293,0.0849757315178739
159.228279334109,0.0652921071973212
166.810053720006,0.0557390227772659
174.752840000768,0.0298258870852329
183.073828029537,0.085512319445625
191.791026167249,0.0860123597440043
200.923300256505,0.0959058946327389
210.490414451202,0.0839561231212452
220.513073990304,0.117552787350436
231.012970008316,0.0902663818060189
242.012826479438,0.0903423541552393
253.536449397011,0.0748145501002562
265.608778294668,0.0781007473681498
278.255940220712,0.0689724196001011
291.505306282517,0.0688678867887794
305.385550883341,0.0835394504459948
319.926713779738,0.0846746315504449
335.160265093884,0.0821640651258937
351.119173421513,0.0544998349485678
367.837977182863,0.0409394861767004
385.352859371053,0.0437465548131533
403.701725859655,0.0709732337691839
422.92428743895,0.0745033973036048
443.062145758388,0.0813342558051795
464.158883361278,0.0366792175304741
486.260158006535,0.0467780386864978
509.413801481637,0.0751338991735834
533.66992312063,0.0763432900480632
559.081018251222,0.0558467048611299
585.702081805666,0.055610400760828
613.590727341317,0.0263705563582017
642.807311728431,0.056002243292165
673.415065775081,0.0365420689995181
705.480231071863,0.0377133826212596
739.072203352577,0.0305256379728435
774.263682681126,0.00187304698679582
811.130830789686,0.0372959844293228
849.753435908643,0.000864707076960784
890.215085445037,0.0146267156021969
932.603346883219,0.0105542237314011
977.009957299224,-0.0370373247932373
1023.53102189902,-0.0245675743807783
1072.26722201032,-0.0291062737339021
1123.32403297803,-0.0635081380418079
1176.811952435,-0.0411257999162966
1232.84673944206,-0.0581831207468016
1291.54966501488,-0.082450287434594
1353.0477745798,-0.112295878733659
1417.4741629268,-0.0890470023005611
1484.96826225446,-0.1231440408989
1555.67614393047,-0.128575498486528
1629.75083462064,-0.178582301838846
1707.35264747069,-0.188474477035894
1788.64952905743,-0.211908085502497
1873.81742286038,-0.237113445977341
1963.04065004027,-0.263638791240353
2056.51230834865,-0.31191449984177
2154.43469003188,-0.357284157930604
2257.01971963392,-0.343708258502596
2364.4894126454,-0.386431282743969
2477.07635599171,-0.44938342565153
2595.02421139973,-0.528544722955735
2718.58824273294,-0.557083108594623
2848.0358684358,-0.647846352092884
2983.64724028333,-0.670818454599269
3125.71584968823,-0.770072537619873
3274.54916287772,-0.858376729988632
3430.46928631491,-0.914175903466123
3593.81366380462,-1.03647479277011
3764.93580679246,-1.08295042884684
3944.20605943765,-1.20944633843215
4132.01240011533,-1.30324089487116
4328.76128108305,-1.4350459219561
4534.87850812857,-1.5847636961499
4750.81016210279,-1.75162050112911
4977.0235643321,-1.87361911540208
5214.00828799967,-2.04890114473376
5462.27721768433,-2.22131884244791
5722.3676593502,-2.40028584211378
5994.8425031894,-2.64549496670939
6280.29144183424,-2.88328237872296
6579.33224657566,-3.11065125418632
6892.61210434968,-3.36793622518818
7220.80901838545,-3.61358179171093
7564.63327554627,-3.89752160873069
7924.82898353915,-4.20235085241846
8302.17568131972,-4.57484764104572
8697.49002617781,-4.96107259785259
9111.62756115487,-5.29321755550158
